cnpj,bairro,municipio
126195000110,BIGORRILHO,CURITIBA
155991000181,CENTRO,LAPA
321106000197,PRIMAVERA,NOVO HAMBURGO
358376000172,SAO PELEGRINO,CAXIAS DO SUL
563375000160,CENTRO,TRES COROAS
586312000129,VILA NOVA,BLUMENAU
587384000190,BACACHERI,CURITIBA
606458000199,PACAEMBU,CASCAVEL
714851000104,CENTRO CIVICO,CURITIBA
724082000117,CENTRO,JOINVILLE
841331000154,NOSSA SENHORA DAS GRACAS,CANOAS
846686000136,BATEL,CURITIBA
890266000157,BELEM VELHO,PORTO ALEGRE
1240559000151,CIDADE BAIXA,PORTO ALEGRE
1302359000186,JD. NIKKO,LONDRINA
1307121000143,BELA VISTA,PORTO ALEGRE
1412181000126,HAMBURGO VELHO,NOVO HAMBURGO
1413885000113,PILARZINHO,CURITIBA
1493662000103,CENTRO,FLORIANOPOLIS
1507578000100,PASSO D'AREIA,PORTO ALEGRE
1519924000161,CENTRO,CURITIBA
1579286000174,SANTANA,PORTO ALEGRE
1718839000122,SAO JOAO,PORTO ALEGRE
1768748000100,PRAIA DE BELAS,PORTO ALEGRE
1796566000134,CENTRO,RIO NEGRINHO
2019301000192,MOSSUNGUE,CURITIBA
2265894000177,PAROLIN,CURITIBA
2306226000140,CENTRO,PINHAIS
2314840000154,JARDIM LINDOIA,PORTO ALEGRE
2318794000161,ESTANCIA VELHA,CANOAS
2437196000101,VELHA,BLUMENAU
2513147000100,VILA BAEPENDI,JARAGUA DO SUL
2622879000139,CHACARAS E LOTES,MARIALVA
2716083000145,CRISTO REI,SAO LEOPOLDO
2816751000106,SANTO ANTONIO DE LISBOA,FLORIANOPOLIS
2904609000110,SANTA FELICIDADE,CURITIBA
2908992000185,CENTRO,PORTO ALEGRE
2932712000174,PETROPOLIS,PORTO ALEGRE
2969247000146,CENTRO,CURITIBA
3078155000139,SARANDI,PORTO ALEGRE
3085118000158,PETROPOLIS,PORTO ALEGRE
3158592000162,FLORESTA,PORTO ALEGRE
3158860000146,REBOUCAS,CURITIBA
3162345000130,RIO BRANCO,SAO LEOPOLDO
3182155000184,PARTENON,PORTO ALEGRE
3217373000107,SAO JOAO,CURITIBA
3271868000114,MOINHOS DE VENTO,PORTO ALEGRE
3339370000146,CENTRO,LAJEADO
3416034000150,CENTRO,FLORIANOPOLIS
3441246000197,PORTAO,CURITIBA
3456658000109,CENTRO,CURITIBA
3624861000139,RIO BRANCO,PORTO ALEGRE
3650551000199,SAO FRANCISCO,CURITIBA
3669981000152,ITOUPAVA CENTRAL,BLUMENAU
3693940000100,CENTRO,FLORIANOPOLIS
3706036000183,CRISTO REI,CURITIBA
3768803000189,AGUA VERDE,CURITIBA
3801285000158,CRISTO REI,CURITIBA
3842870000104,BATEL,CURITIBA
3869517000100,BATEL,CURITIBA
3940974000143,BIGORRILHO,CURITIBA
3942659000155,JARDIM DAS AMERICAS,CURITIBA
3971445000107,CAPAO DA IMBUIA,CURITIBA
4052081000124,SARANDI,PORTO ALEGRE
4055601000152,SANTO ANTONIO,JOINVILLE
4055839000188,MERCES,CURITIBA
4067290000141,BAIRRO ALTO,CURITIBA
4121834000106,ITACORUBI,FLORIANOPOLIS
4181912000168,PETROPOLIS,PORTO ALEGRE
4246459000120,XAXIM,CURITIBA
4340744000106,CENTRO,FLORIANOPOLIS
4348434000138,CENTRO,CAXIAS DO SUL
4358494000131,REBOUCAS,CURITIBA
4363802000117,LAMI,PORTO ALEGRE
4410157000146,CAPAO DA IMBUIA,CURITIBA
4432166000138,CENTRO,PELOTAS
4467799000181,ESTRADA VELHA,QUATRO BARRAS
4515887000101,HIGIENOPOLIS,PORTO ALEGRE
4516228000190,MERCES,CURITIBA
4543459000192,PETROPOLIS,PORTO ALEGRE
4570566000100,SANTA MONICA,FLORIANOPOLIS
4729567000154,COMERCIARIO,CRICIUMA
4820891000183,ITACORUBI,FLORIANOPOLIS
4864355000180,PARTENON,PORTO ALEGRE
4868871000182,CORREGO GRANDE,FLORIANOPOLIS
4915134000193,CENTRO,LONDRINA
4962340000154,CENTRO,FLORIANOPOLIS
5023602000188,REAL PARQUE,SAO JOSE
5028586000116,SANTA FELICIDADE,CURITIBA
5031207000147,TRISTEZA,PORTO ALEGRE
5042138000177,CENTRO,FLORIANOPOLIS
5050074000156,CENTRO HISTORICO,PORTO ALEGRE
5110958000159,SAGUACU,JOINVILLE
5138645000109,REBOUCAS,CURITIBA
5151009000117,CENTRO,JOINVILLE
5159145000153,CENTRO,CURITIBA
5251406000160,AGUA VERDE,CURITIBA
5268522000192,HIGIENOPOLIS,PORTO ALEGRE
5332252000131,VILA YOLANDA,FOZ DO IGUACU
5337875000105,ITACORUBI,FLORIANOPOLIS
5339050000111,VILA NOVA,PORTO ALEGRE
5357530000105,CAVALHADA,PORTO ALEGRE
5401067000151,FORTALEZA,BLUMENAU
5422311000162,PILARZINHO,CURITIBA
5448669000164,CENTRO CIVICO,CURITIBA
5451225000188,MOINHOS DE VENTO,PORTO ALEGRE
5488710000126,PEDRO MORO,SAO JOSE DOS PINHAIS
5498853000119,GLEBA FAZENDA PALHANO,LONDRINA
5531121000183,DO SALTO,BLUMENAU
5546793000162,AGUA VERDE,CURITIBA
5550374000102,PONTA AGUDA,BLUMENAU
5594470000144,PETROPOLIS,PORTO ALEGRE
5617100000185,BOQUEIRAO,CURITIBA
5620370000145,CENTRO,PORTO ALEGRE
5694420000139,CENTRO,SAO MARTINHO
5809591000166,CAMPO COMPRIDO,CURITIBA
5834028000148,VILA SANTA ISABEL,VIAMAO
5895166000137,REBOUCAS,CURITIBA
5906225000125,GLEBA FAZENDA PALHANO,LONDRINA
5936622000140,SAO FRANCISCO,CURITIBA
5954033000194,PETROPOLIS,PORTO ALEGRE
5975597000103,ABERTA DOS MORROS,PORTO ALEGRE
5996262000171,CENTRO,JOINVILLE
6015379000190,SANTA MARIA GORETTI,PORTO ALEGRE
6074087000128,CENTRO HISTORICO,PORTO ALEGRE
6153856000183,ALTO DA GLORIA,CURITIBA
6185897000151,BAIRRO ALTO,CURITIBA
6277224000121,TRINDADE,FLORIANOPOLIS
6290671000110,CRISTO REI,CURITIBA
6320344000164,CENTRO,PINHAIS
6867750000141,BUCAREIN,JOINVILLE
6913250000107,MARECHAL RONDON,CANOAS
7051953000128,CENTRO,CURITIBA
7052633000192,UNIVERSITARIO,SANTA CRUZ DO SUL
7054772000155,TRINDADE,FLORIANOPOLIS
7138892000130,CENTRO,BLUMENAU
7143006000167,SACO GRANDE,FLORIANOPOLIS
7144407000131,CENTRO,NOVO HAMBURGO
7189783000142,CENTRO,SAO LEOPOLDO
7208334000102,BIGORRILHO,CURITIBA
7228485000114,CENTRO HISTORICO,PORTO ALEGRE
7303726000142,CENTRO HISTORICO,PORTO ALEGRE
7591060000175,PRADO VELHO,CURITIBA
7592315000114,CENTRO,CURITIBA
7672361000123,PRAIA DE BELAS,PORTO ALEGRE
7723137000113,JARDIM BOTANICO,PORTO ALEGRE
7731452000192,ATUBA,COLOMBO
7854026000146,NOVELO,MARIOPOLIS
7896865000127,CENTRO,JANDAIA DO SUL
7899023000129,JARDIM LINDOIA,PORTO ALEGRE
7900364000177,ZONA 01,MARINGA
7938862000109,INDEPENDENCIA,PORTO ALEGRE
7941604000181,XAXIM,CURITIBA
7944196000111,CENTRO,CAXIAS DO SUL
7989117000199,FLORESTAL,LAJEADO
8029924000122,JARDIM BOTANICO,PORTO ALEGRE
8139576000146,SANTO INACIO,CURITIBA
8150225000136,JOAO PAULO,FLORIANOPOLIS
8437692000141,BOA VISTA,CURITIBA
8452946000109,CENTRO HISTORICO,PORTO ALEGRE
8533856000134,CENTRO,SAPIRANGA
8541866000111,PARTENON,PORTO ALEGRE
8597777000197,JARDIM BLUMENAU,BLUMENAU
8637105000168,VILA NOVA,PORTO ALEGRE
8640367000181,SARANDI,PORTO ALEGRE
8671358000158,BIGORRILHO,CURITIBA
8682040000172,AREAL,PELOTAS
8688030000144,CENTRO,PORTO ALEGRE
8698053000130,SANTANA,PORTO ALEGRE
8716906000119,MARECHAL RONDON,CANOAS
8765613000121,AGUA VERDE,CURITIBA
8851703000135,JARDIM BOTANICO,PORTO ALEGRE
8879628000110,SANTO ANTONIO,JOINVILLE
8889601000109,PORTAO,CURITIBA
8944685000136,CENTRO,CURITIBA
9008823000138,CENTRO,LONDRINA
9018845000189,PILARZINHO,CURITIBA
9044119000130,BATEL,CURITIBA
9052375000170,TARUMA,CURITIBA
9129117000144,AUXILIADORA,PORTO ALEGRE
9176594000160,SANTO ANTONIO,JOINVILLE
9200383000116,ANITA GARIBALDI,JOINVILLE
9251361000185,BUCAREIN,JOINVILLE
9254750000164,CENTRO,CURITIBA
9276267000180,JARDIM HIGIENOPOLIS,LONDRINA
9276674000198,BOM RETIRO,CURITIBA
9311034000171,CENTRO,XANXERE
9336130000174,SANTO INACIO,CURITIBA
9349805000110,FORTALEZA,BLUMENAU
9395752000173,JARDIM QUITANDINHA,COLOMBO
9401653000157,BOM RETIRO,CURITIBA
9416343000106,CAJURU,CURITIBA
9451699000180,JUVEVE,CURITIBA
9574379000118,HUGO LANGE,CURITIBA
9626129000184,CENTRO,NOVO HAMBURGO
9653351000176,MOSSUNGUE,CURITIBA
9663609000115,PATRIA NOVA,NOVO HAMBURGO
9666433000155,CENTRO,CURITIBA
10145201000130,MENINO DEUS,PORTO ALEGRE
10241629000187,CORREGO GRANDE,FLORIANOPOLIS
10292174000129,CENTRO,FLORIANOPOLIS
10303632000188,INDEPENDENCIA,PORTO ALEGRE
10320392000120,SAO FRANCISCO,VIDEIRA
10339359000141,CENTRO HISTORICO,PORTO ALEGRE
10348941000174,VICTOR KONDER,BLUMENAU
10353834000134,MOINHOS DE VENTO,PORTO ALEGRE
10358750000193,ALPHAVILLE GRACIOSA,PINHAIS
10358880000126,SAO FRANCISCO,CURITIBA
10374614000197,SAO MARCOS,JOINVILLE
10387465000109,INDEPENDENCIA,PORTO ALEGRE
10394304000134,FLORESTA,PORTO ALEGRE
10414615000118,REBOUCAS,CURITIBA
10415575000129,PATRIA NOVA,NOVO HAMBURGO
10436009000101,CENTRO,SAO LEOPOLDO
10468447000143,BATEL,CURITIBA
10469390000105,ITOUPAVAZINHA,BLUMENAU
10472415000111,MOINHOS DE VENTO,PORTO ALEGRE
10483721000153,MONT SERRAT,PORTO ALEGRE
10498651000107,CENTRO,DOIS IRMAOS
10509713000139,CENTRO,PONTA GROSSA
10524406000127,TRES FIGUEIRAS,PORTO ALEGRE
10570173000107,BOM RETIRO,CURITIBA
10634181000161,FLORESTA,JOINVILLE
10655518000117,BARRAGEM,RIO DO SUL
10657602000170,NOVO MUNDO,CURITIBA
10702854000173,NOSSA SENHORA APARECIDA,ENCANTADO
10721973000173,AMERICA,JOINVILLE
10732355000129,GLEBA FAZENDA PALHANO,LONDRINA
10743066000125,RIO BRANCO,PORTO ALEGRE
10778277000101,ARTIDOR ORTIZ,ROSARIO DO SUL
10780049000168,PASSO DA AREIA,PORTO ALEGRE
10803704000156,FLORESTA,JOINVILLE
10882234000163,PETROPOLIS,PORTO ALEGRE
10963516000195,CENTRO,PORTO ALEGRE
11023375000193,CENTRO,CURITIBA
11030542000123,JARDIM SANTA HELENA,MARINGA
11036060000180,LOTEAMENTO ROMANI,DOIS VIZINHOS
11038137000151,SANTO INACIO,CURITIBA
11048655000156,JARDIM SOCIAL,CURITIBA
11094781000147,CRISTO REI,SAO LEOPOLDO
11147517000124,CENTRO,SAO LEOPOLDO
11152463000195,IDEAL,NOVO HAMBURGO
11188017000130,AMERICA,JOINVILLE
