cnpj,raiz_cnpj,matriz_filial,razao_social,opcao_pelo_simples,capital_social
126195000110,126195,MATRIZ,TRAMA SOFTWARE LTDA,NAO,0
155991000181,155991,MATRIZ,ELEKTI - APOIO A EDUCACAO E FORNECIMENTO DE BOLSAS DE ESTUDOS LTDA,NAO,40000
321106000197,321106,MATRIZ,VIRTUAL TECNOLOGIA & SERVICOS LTDA,NAO,5000
358376000172,358376,MATRIZ,SARTOR ASSESSORIA E COMERCIO DE INFORMATICA LTDA,SIM,0
563375000160,563375,MATRIZ,INDEXX INFORMATICA LTDA,SIM,0
586312000129,586312,MATRIZ,DATAMICRO SISTEMAS LTDA,SIM,0
587384000190,587384,MATRIZ,INOVATIVA INFORMATICA LTDA,SIM,0
606458000199,606458,MATRIZ,MERCODATA ENGENHARIA DE SISTEMAS LTDA,NAO,50000
714851000104,714851,MATRIZ,MKT SERVICOS DE MARKETING E TECNOLOGIA - EIRELI,NAO,320000
724082000117,724082,MATRIZ,FUNDACAO SOFTVILLE,NAO,0
841331000154,841331,MATRIZ,SOFTNEW SISTEMAS E CONSULTORIA EM INFORMATICA LTDA,SIM,15000
846686000136,846686,MATRIZ,HORUS INFORMATICA LTDA,NAO,200000
890266000157,890266,MATRIZ,SAM INFORMATICA LTDA,NAO,0
1240559000151,1240559,MATRIZ,PRO UPPER CONSULTORIA & ASSESSORIA EM OS&M LTDA,NAO,0
1302359000186,1302359,MATRIZ,UNIWARE CONS E COMERCIO DE EQUIP P/ INFORMATICA LTDA,NAO,60000
1307121000143,1307121,MATRIZ,EDUARDO HENRIQUE PEREIRA DE ARRUDA,NAO,0
1412181000126,1412181,MATRIZ,DIFERENZA CONSULTORIA EM TECNOLOGIA EIRELI,NAO,600000
1413885000113,1413885,MATRIZ,SIX TECH DESENVOLVIMENTO SISTEMAS DE INFORMATICA LTDA,SIM,0
1493662000103,1493662,MATRIZ,TRIPLICE CONSULTORIA E SERVICOS LTDA,SIM,50000
1507578000100,1507578,MATRIZ,GABARDO CONSULTORIA E INFORMATICA LTDA,NAO,0
1519924000161,1519924,MATRIZ,BERGERSON CONSULTING S/C LTDA,NAO,0
1579286000174,1579286,MATRIZ,SAFEWEB SEGURANCA DA INFORMACAO LTDA.,NAO,10100000
1718839000122,1718839,MATRIZ,E. SILVA CONSULTORIA LTDA,NAO,20000
1768748000100,1768748,MATRIZ,FORUM CERTIFICACAO DIGITAL SOCIEDADE SIMPLES LTDA,NAO,0
1796566000134,1796566,MATRIZ,SARDO SERVICOS DE INFORMATICA LTDA,NAO,0
2019301000192,2019301,MATRIZ,FIDARE LTDA,NAO,0
2265894000177,2265894,MATRIZ,ISO ENTERPRISE INFORMATICA LTDA,NAO,259999
2306226000140,2306226,MATRIZ,LUME SERVICOS DE TECNOLOGIA S/A,NAO,5000000
2314840000154,2314840,MATRIZ,UNIDAC CONSULTORIA EM TECNOLOGIA DA INFORMACAO LTDA,SIM,100000
2318794000161,2318794,MATRIZ,EVERTON RAMOS DE MORAES EIRELI,SIM,105000
2437196000101,2437196,MATRIZ,"LUMINA - INFORMATICA, CONSULTORIA E SERVICOS LTDA",SIM,20000
2513147000100,2513147,MATRIZ,BENDITO LTDA,NAO,24000
2622879000139,2622879,MATRIZ,C R NET LTDA,SIM,60000
2716083000145,2716083,MATRIZ,BRAZPINE SERVICE SERVICOS PROCESSOS TECNOLOGIA LTDA,NAO,100000
2816751000106,2816751,MATRIZ,PARADIGMA BUSINESS SOLUTIONS LTDA,NAO,4000000
2904609000110,2904609,MATRIZ,FATOR I CONSULTORIA LTDA,NAO,25000
2908992000185,2908992,MATRIZ,EXECUCAO GESTAO E CONSULTORIA EM INFORMATICA LTDA.,NAO,1500000
2932712000174,2932712,MATRIZ,BHB SISTEMAS DE INFORMATICA LTDA.,NAO,0
2969247000146,2969247,MATRIZ,BATECH MARKETING E TECNOLOGIA LTDA.,NAO,0
3078155000139,3078155,MATRIZ,CABLING TELECOM E CONSULTORIA EIRELI,NAO,95400
3085118000158,3085118,MATRIZ,S. M. CONSULTORIA SOCIEDADE SIMPLES LTDA,NAO,5000
3158592000162,3158592,MATRIZ,EMPRESARIAL LUIZ EDUARDO GIAMPAOLI LTDA,NAO,0
3158860000146,3158860,MATRIZ,PELISSARI INFORMATICA SA,NAO,6500500
3162345000130,3162345,MATRIZ,CARLOS AUGUSTO POHLMANN CONSULTORIA,NAO,0
3182155000184,3182155,MATRIZ,ECORE SOLUCOES EM TECNOLOGIA DA INFORMACAO LTDA.,NAO,300000
3217373000107,3217373,MATRIZ,VERSA SOLUCOES EM TECNOLOGIA LTDA,NAO,4000
3271868000114,3271868,MATRIZ,GUIAINVEST SERVICOS DE TECNOLOGIA DA INFORMACAO LTDA,NAO,48503
3339370000146,3339370,MATRIZ,INTERACT SOLUTIONS LTDA,NAO,1000000
3416034000150,3416034,MATRIZ,ASTRO VIDEO COMERCIO E SERVICOS LTDA,NAO,0
3441246000197,3441246,MATRIZ,GOLDEN IT LTDA,SIM,0
3456658000109,3456658,MATRIZ,PLANETAWEB INFORMATICA LTDA,SIM,50000
3624861000139,3624861,MATRIZ,HANDS ON TECNOLOGIA DA INFORMACAO LTDA,NAO,10000
3650551000199,3650551,MATRIZ,WELAB.BUSINESS COMUNICACAO DIGITAL EIRELI,NAO,250000
3669981000152,3669981,MATRIZ,ATHOM CONSULTING LTDA,NAO,0
3693940000100,3693940,MATRIZ,E-PEOPLE SOLUCOES LTDA,NAO,1425000
3706036000183,3706036,MATRIZ,QUALIDIG LTDA,SIM,1000
3768803000189,3768803,MATRIZ,MITI - MIDIA INTERATIVA E TECNOLOGIA DA INFORMACAO LTDA,NAO,5472116
3801285000158,3801285,MATRIZ,CG SISTEMAS E SERVICOS DE INFORMATICA LTDA,SIM,1000
3842870000104,3842870,MATRIZ,FERAWEB INFORMATICA LTDA,NAO,15000
3869517000100,3869517,MATRIZ,AMBX TECNOLOGIA LTDA,NAO,500000
3940974000143,3940974,MATRIZ,E.R.P. CONSULTORIA EM INFORMATICA LTDA,NAO,0
3942659000155,3942659,MATRIZ,VIGA NETSTORE LTDA,NAO,60000
3971445000107,3971445,MATRIZ,E.A.F.F. - CONSULTORIA & INFORMATICA LTDA,NAO,0
4052081000124,4052081,MATRIZ,DELTAMIDIA SOLUCOES E TECNOLOGIA LTDA,NAO,0
4055601000152,4055601,MATRIZ,BECOMEX CONSULTORIA LTDA,NAO,282002
4055839000188,4055839,MATRIZ,TEROS INFORMATICA LTDA,SIM,10000
